pm,stator_yoke,stator_tooth,stator_winding
-1.7555555,-1.3918185,-1.4888175,-1.42291
-1.7561052,-1.3924041,-1.4896754,-1.4240046
-1.7559317,-1.3932962,-1.4908772,-1.4255027
-1.7561051,-1.3941267,-1.4919574,-1.426837
-1.7562338,-1.3950737,-1.4932002,-1.4283835
-1.7560649,-1.3956662,-1.4939203,-1.4292427
-1.7561871,-1.39645,-1.4949626,-1.4305518
-1.7559439,-1.3967218,-1.4952619,-1.4308859
-1.7561013,-1.3971095,-1.4957758,-1.4315382
-1.756059,-1.3971045,-1.4957292,-1.4314628
-1.756179,-1.3973467,-1.496062,-1.4318897
-1.7562273,-1.3974707,-1.4962223,-1.4320918
-1.7560997,-1.3974571,-1.496197,-1.4320465
-1.7562838,-1.3972011,-1.4959189,-1.4317247
-1.7563527,-1.3965015,-1.4950048,-1.4305824
-1.7567515,-1.3963208,-1.4948252,-1.4304024
-1.7566934,-1.3957838,-1.4941297,-1.4295264
-1.7569724,-1.395587,-1.4939395,-1.4293267
-1.7571067,-1.3952179,-1.4934703,-1.4287516
-1.7641577,-1.396548,-1.4940164,-1.4291416
-1.7790002,-1.4006568,-1.4970337,-1.431907
-1.7796091,-1.4005574,-1.494261,-1.4270712
-1.7525563,-1.3851528,-1.4707338,-1.3973353
-1.692508,-1.3540736,-1.4254998,-1.342723
-1.6080006,-1.3122134,-1.3653315,-1.2725172
-1.5259353,-1.2639686,-1.2989953,-1.1970692
-1.4671687,-1.2299101,-1.255256,-1.1495875
-1.4084136,-1.2166799,-1.2351406,-1.1305252
-1.3410273,-1.1996765,-1.208339,-1.1037534
-1.2525215,-1.1691893,-1.1609061,-1.0529315
-1.127388,-1.1118125,-1.0731834,-0.9540492
-0.98879963,-1.0282813,-0.94938517,-0.80972934
-0.88606036,-0.9485848,-0.8330597,-0.6696837
-0.8222146,-0.8886096,-0.74486977,-0.5596788
-0.7871168,-0.8460462,-0.6815839,-0.47749838
-0.7692326,-0.81642264,-0.6369914,-0.4173811
-0.75848323,-0.79497635,-0.60421264,-0.37204143
-0.754669,-0.77968866,-0.5807733,-0.33868733
-0.75557005,-0.7690765,-0.5646137,-0.31500533
-0.7563182,-0.7614603,-0.5529768,-0.29785421
-0.75551635,-0.7553707,-0.5434552,-0.28391972
-0.75450647,-0.751318,-0.5371885,-0.27486208
-0.75347364,-0.7482462,-0.53240305,-0.26796237
-0.75221145,-0.7460057,-0.5287544,-0.26272145
-0.74922794,-0.74459136,-0.52650476,-0.25989243
-0.74659646,-0.74407864,-0.5257127,-0.2591984
-0.7440161,-0.74334186,-0.524489,-0.25780708
-0.74009925,-0.74239564,-0.5228599,-0.2560152
-0.7362605,-0.74123204,-0.5207993,-0.253523
-0.7343716,-0.74031794,-0.5191615,-0.2513473
-0.73617536,-0.74086404,-0.5201802,-0.25262132
-0.73673177,-0.7405183,-0.51966715,-0.25177684
-0.7382574,-0.73978335,-0.518496,-0.24974309
-0.7410336,-0.73982316,-0.518646,-0.24951561
-0.74245596,-0.7396034,-0.5183862,-0.24891827
